"Rank","Institution","Total enrollment, fall 2017","Revenue from tuition and fees","Spending on instruction","Revenue from tuition and fees, minus spending on instruction","Tuition-and-fees revenue as percentage of all revenue"
"23.","Colorado State U. Global Campus","12,381","$85,060,174","$19,330,505","$65,729,669","86.7%"
"24.","U. of California at Santa Cruz","19,457","$260,694,000","$196,164,517","$64,529,483","31.4%"
"25.","U. of California at Santa Barbara","25,057","$367,780,000","$309,341,669","$58,438,331","30.8%"
"26.","Eastern Michigan U.","20,525","$173,288,530","$121,355,083","$51,933,447","46.4%"
"27.","U. of Oregon","22,887","$381,433,560","$330,179,755","$51,253,805","39.0%"
"28.","College of William & Mary","8,740","$180,090,456","$130,040,528","$50,049,928","36.7%"
"29.","Thomas Edison State U.","11,945","$47,877,844","$0","$47,877,844","68.9%"
"30.","Virginia Tech","34,440","$461,750,182","$422,276,250","$39,473,932","31.9%"
"31.","Central Michigan U.","23,257","$218,862,587","$179,512,545","$39,350,042","41.1%"
"32.","U. of Cincinnati","37,155","$428,996,494","$391,047,642","$37,948,852","35.2%"
"33.","Troy U.","17,521","$127,437,463","$89,882,763","$37,554,700","48.8%"
"34.","Texas State U.","38,666","$274,040,154","$237,792,159","$36,247,995","29.0%"
"35.","U. of Colorado at Colorado Springs","12,932","$118,718,532","$83,025,787","$35,692,745","52.2%"
"36.","Sam Houston State U.","20,938","$152,149,153","$116,613,321","$35,535,832","34.0%"
"37.","College of Charleston","10,863","$146,296,506","$111,286,766","$35,009,740","53.4%"
"38.","Montana State U. at Bozeman","16,613","$152,576,904","$118,254,934","$34,321,970","31.6%"
"39.","Coastal Carolina U.","10,663","$133,229,383","$100,965,284","$32,264,099","57.7%"
"40.","U. of New Hampshire","15,363","$212,054,588","$181,048,166","$31,006,422","33.6%"
"41.","Colorado School of Mines","6,209","$123,886,469","$94,588,881","$29,297,588","45.7%"
"42.","U. of Texas at Dallas","27,642","$276,163,374","$247,083,776","$29,079,598","36.1%"
"43.","Kent State U. at Kent","28,972","$279,174,300","$250,758,867","$28,415,433","42.9%"
"44.","U. of Louisiana at Lafayette","17,297","$140,967,415","$113,281,833","$27,685,582","42.2%"
"45.","U. of Virginia","24,360","$535,061,915","$507,596,728","$27,465,187","14.2%"
"46.","Georgia Institute of Technology","29,376","$361,845,835","$334,572,574","$27,273,261","22.3%"
"47.","U. of South Carolina at Columbia","34,731","$446,970,398","$420,606,126","$26,364,272","40.9%"
"48.","Colorado Mesa U.","9,591","$67,108,772","$41,754,341","$25,354,431","42.5%"
"49.","Oklahoma State U. at Stillwater","25,295","$232,254,622","$207,277,611","$24,977,011","26.5%"
"50.","Wichita State U.","15,075","$97,657,573","$72,723,213","$24,934,360","32.4%"
"51.","U. of Houston-Downtown","13,919","$78,910,227","$54,058,723","$24,851,504","38.9%"
"52.","U. of Massachusetts at Lowell","18,315","$188,711,000","$164,295,000","$24,416,000","38.7%"
"53.","Ferris State U.","13,798","$122,091,696","$97,951,169","$24,140,527","46.6%"
"54.","Iowa State U.","36,158","$352,373,920","$330,078,899","$22,295,021","27.1%"
"55.","Louisiana State U. at Baton Rouge","30,861","$341,681,192","$320,606,898","$21,074,294","31.0%"
"56.","Louisiana Tech U.","12,839","$76,040,435","$56,014,799","$20,025,636","41.3%"
"57.","Bridgewater State U.","11,019","$90,078,676","$70,057,550","$20,021,126","44.6%"
"58.","Metropolitan State U. of Denver","20,304","$111,790,778","$92,241,555","$19,549,223","53.7%"
"59.","Lamar U.","14,506","$95,880,970","$76,836,326","$19,044,644","28.8%"
"60.","Georgia State U.","32,816","$247,378,121","$228,402,723","$18,975,398","32.1%"
"61.","Michigan Technological U.","7,292","$95,869,984","$77,228,211","$18,641,773","37.1%"
"62.","Northern Arizona U.","31,051","$237,929,536","$219,729,149","$18,200,387","41.2%"
"63.","West Virginia School of Osteopathic Medicine","849","$34,875,351","$16,998,933","$17,876,418","72.4%"
"64.","Northern Kentucky U.","14,456","$103,311,000","$85,997,000","$17,314,000","40.8%"
"65.","U. of Michigan at Dearborn","9,330","$88,657,000","$72,710,000","$15,947,000","58.0%"
"66.","U. of Texas at San Antonio","30,768","$190,520,272","$174,910,759","$15,609,513","29.3%"
"67.","U. of Minnesota at Duluth","11,168","$91,636,690","$76,210,787","$15,425,903","38.3%"
"68.","West Chester U. of Pennsylvania","17,306","$151,648,867","$136,956,569","$14,692,298","51.0%"
"69.","Oregon State U.*","32,100","$316,309,788","$301,795,805","$14,513,983","27.9%"
"70.","Saginaw Valley State U.","8,617","$69,422,859","$55,018,468","$14,404,391","46.7%"
"71.","Georgia College and State U.","6,952","$57,447,517","$43,548,757","$13,898,760","35.9%"
"72.","Northeast Ohio Medical U.","930","$34,402,078","$21,529,081","$12,872,997","37.9%"
"73.","McNeese State U.","7,629","$41,135,138","$28,727,962","$12,407,176","35.8%"
"74.","Cleveland State U.","16,371","$154,187,752","$141,916,332","$12,271,420","45.4%"
"75.","Dixie State U.","9,673","$38,456,228","$26,381,217","$12,075,011","36.0%"
"76.","Colorado State U. at Pueblo","6,639","$36,358,258","$24,533,948","$11,824,310","42.0%"
"77.","Plymouth State U.","5,046","$48,285,979","$36,853,042","$11,432,937","44.2%"
"78.","Northern Michigan U.","7,612","$60,310,217","$49,869,295","$10,440,922","37.3%"
"79.","U. of Wisconsin at Platteville","8,548","$50,008,856","$39,657,321","$10,351,535","37.7%"
"80.","Maine Maritime Academy","1,037","$21,315,981","$11,025,801","$10,290,180","43.0%"
"81.","U. of California at Berkeley","41,891","$834,441,000","$824,276,982","$10,164,018","30.6%"
"82.","James Madison U.","21,836","$207,013,768","$197,103,700","$9,910,068","37.9%"
"83.","Alabama A&M U.","6,001","$46,521,234","$36,797,673","$9,723,561","29.2%"
"84.","U. of Wisconsin at Whitewater","12,434","$79,423,580","$70,105,453","$9,318,127","43.7%"
"85.","Castleton U.","2,141","$25,634,260","$16,679,830","$8,954,430","53.6%"
"86.","South Carolina State U.","2,942","$25,823,331","$17,092,548","$8,730,783","25.1%"
"87.","Fort Hays State U.","15,100","$56,961,207","$48,265,404","$8,695,803","41.7%"
"88.","College of New Jersey","7,552","$101,532,000","$92,867,000","$8,665,000","40.5%"
"89.","Western Michigan U.","22,869","$239,409,677","$230,936,673","$8,473,004","40.6%"
"90.","U. of Louisiana at Monroe","9,181","$57,133,231","$48,832,689","$8,300,542","41.9%"
"91.","Texas A&M U. at Corpus Christi","12,232","$76,989,846","$69,619,140","$7,370,706","31.3%"
"92.","U. of New Orleans","7,964","$57,374,406","$50,301,991","$7,072,415","35.5%"
"93.","Grambling State U.","5,191","$26,457,357","$19,390,612","$7,066,745","29.1%"
"94.","Ohio U.","29,369","$318,408,256","$311,455,525","$6,952,731","41.8%"
"95.","New Jersey Institute of Technology","11,446","$132,660,000","$125,804,000","$6,856,000","32.3%"
"96.","U. of Maine at Orono","11,240","$101,227,000","$94,435,000","$6,792,000","27.5%"
"97.","East Stroudsburg U. of Pennsylvania","6,742","$53,366,310","$46,795,823","$6,570,487","42.3%"
"98.","Georgia Military College","8,595","$30,513,215","$24,621,443","$5,891,772","37.8%"
"99.","Keene State College","3,866","$47,636,233","$42,129,054","$5,507,179","41.0%"
"100.","U. of Michigan at Flint","7,836","$71,971,000","$66,624,000","$5,347,000","48.7%"
"101.","Louisiana State U. at Shreveport","5,996","$25,314,917","$20,057,845","$5,257,072","53.3%"
"102.","Alabama State U.","4,760","$45,278,161","$40,147,376","$5,130,785","31.6%"
"103.","U. of North Texas at Dallas","3,509","$17,426,683","$12,343,729","$5,082,954","30.8%"
"104.","U. of Houston-Clear Lake","8,542","$60,376,438","$55,357,674","$5,018,764","45.1%"
"105.","Auburn U. at Montgomery","4,894","$34,236,701","$29,433,182","$4,803,519","36.9%"
"106.","Boise State U.","24,121","$135,558,227","$130,755,839","$4,802,388","33.9%"
"107.","U. of Wisconsin at Eau Claire","10,904","$68,035,650","$63,241,145","$4,794,505","39.1%"
"108.","Stephen F. Austin State U.","12,614","$84,964,142","$80,205,278","$4,758,864","35.1%"
"109.","Southern U. Law Center","576","$9,093,437","$4,576,834","$4,516,603","56.0%"
"110.","U. of Northern Colorado","13,399","$113,365,937","$108,901,662","$4,464,275","47.7%"
"111.","U. of Illinois at Urbana-Champaign","48,216","$773,706,054","$769,556,147","$4,149,907","27.0%"
"112.","Granite State College","2,019","$10,367,683","$6,936,890","$3,430,793","49.5%"
"113.","Lyndon State College","1,147","$13,676,029","$10,316,534","$3,359,495","47.2%"
"114.","Miami U. at Middletown (Ohio)","1,973","$12,923,121","$9,690,754","$3,232,367","58.2%"
"115.","Charter Oak State College","1,500","$8,222,480","$5,400,419","$2,822,061","57.0%"
"116.","Community College of Denver","8,556","$28,094,108","$25,395,162","$2,698,946","48.7%"
"117.","West Liberty U.","2,443","$13,852,638","$11,225,430","$2,627,208","36.0%"
"118.","Salem State U.","8,702","$66,892,800","$64,462,316","$2,430,484","37.1%"
"119.","Massachusetts Maritime Academy","1,780","$21,701,240","$19,301,594","$2,399,646","30.0%"
"120.","Indiana U. East","3,490","$20,318,306","$18,055,316","$2,262,990","47.4%"
"121.","Johnson State College","1,552","$13,561,604","$11,439,292","$2,122,312","46.6%"
"122.","Ohio State U. at Newark","2,623","$14,725,745","$12,720,918","$2,004,827","47.8%"
"123.","Evergreen State College","3,907","$33,703,856","$31,722,899","$1,980,957","29.8%"
"124.","Kent State U.-Stark","5,010","$19,195,201","$17,265,447","$1,929,754","52.0%"
"125.","U. of Kentucky","29,465","$339,665,245","$337,798,981","$1,866,264","10.2%"
"126.","Vermont Technical College","1,616","$20,732,643","$18,899,731","$1,832,912","50.5%"
"127.","The Citadel","3,717","$44,358,169","$42,527,667","$1,830,502","35.7%"
"128.","U. of South Alabama","15,569","$142,024,000","$140,231,000","$1,793,000","17.1%"
"129.","Lander U.","2,849","$15,822,858","$14,198,667","$1,624,191","30.4%"
"130.","Nicholls State U.","6,327","$35,146,446","$33,658,388","$1,488,058","38.6%"
"131.","Texas A&M U. at San Antonio","6,337","$26,143,670","$25,062,830","$1,080,840","34.3%"
"132.","Southern U.","6,118","$33,516,836","$32,626,759","$890,077","25.7%"
"133.","Western Kentucky U.","20,257","$138,711,613","$137,914,117","$797,496","39.4%"
"134.","Angelo State U.","10,417","$47,031,110","$46,478,597","$552,513","29.5%"
"135.","Virginia Military Institute","1,722","$27,850,658","$27,317,354","$533,304","26.4%"
"136.","Youngstown State U.","12,521","$80,777,230","$80,278,585","$498,645","39.7%"
"137.","Wright State U. Lake Campus","1,037","$5,417,838","$5,045,503","$372,335","54.6%"
"138.","Kent State U.-Geauga","2,249","$7,686,559","$7,352,085","$334,474","55.7%"
"139.","Western State Colorado U.","2,814","$23,603,467","$23,316,584","$286,883","37.6%"
"140.","Southeastern Oklahoma State U.","4,006","$17,828,635","$17,548,004","$280,631","33.0%"
"141.","Southern Arkansas U.","4,643","$22,751,636","$22,507,774","$243,862","32.4%"
"142.","Kentucky State U.","1,926","$10,497,944","$10,326,102","$171,842","15.5%"
"143.","U. of Baltimore","5,565","$48,869,407","$48,737,502","$131,905","41.9%"
"144.","Black Hills State U.","4,178","$18,877,460","$18,850,969","$26,491","36.1%"
"145.","U. of New Hampshire at Manchester","758","$9,236,447","$9,233,042","$3,405","75.4%"
"146.","Texas A&M U. at Commerce","13,244","$69,602,309","$69,614,526","-$12,217","33.1%"
"147.","South Dakota School of Mines and Technology","2,778","$24,189,104","$24,217,346","-$28,242","30.6%"
"148.","Miami U. at Hamilton (Ohio)","2,751","$13,860,762","$13,926,886","-$66,124","51.1%"
"149.","San Diego State U.","35,158","$214,530,073","$214,617,564","-$87,491","34.4%"
"150.","California State U.-East Bay","16,538","$89,638,003","$89,745,067","-$107,064","33.4%"
"151.","Red Rocks Community College","7,355","$32,426,458","$32,568,611","-$142,153","53.0%"
"152.","Kent State U. at East Liverpool","1,175","$3,728,851","$4,011,848","-$282,997","51.6%"
"153.","Rogers State U.","3,728","$15,471,229","$15,770,242","-$299,013","32.1%"
"154.","Glenville State College","1,655","$5,206,941","$5,525,152","-$318,211","21.0%"
"155.","U. of West Alabama","4,646","$27,253,323","$27,598,402","-$345,079","44.4%"
"156.","U. of Maine at Fort Kent","1,760","$6,096,000","$6,446,000","-$350,000","34.6%"
"157.","Kent State U.-Trumbull","2,278","$8,707,298","$9,105,938","-$398,640","51.1%"
"158.","Millersville U. of Pennsylvania","7,720","$67,660,686","$68,087,650","-$426,964","42.2%"
"159.","Eastern Oregon U.","3,016","$15,590,411","$16,078,211","-$487,800","27.8%"
"160.","Southern Utah U.","9,468","$52,906,681","$53,513,341","-$606,660","34.9%"
"161.","Stone Child College","554","$526,470","$1,182,137","-$655,667","5.2%"
"162.","U. of Wisconsin at La Crosse","10,548","$70,894,730","$71,557,499","-$662,769","41.7%"
"163.","Northwestern State U.","10,572","$48,094,675","$48,784,815","-$690,140","46.1%"
"164.","Indiana U. at Kokomo","3,029","$16,260,004","$17,097,398","-$837,394","41.3%"
"165.","Southern U. at New Orleans","2,546","$9,989,101","$10,986,400","-$997,299","18.5%"
"166.","Southeastern Louisiana U.","14,285","$70,055,613","$71,140,460","-$1,084,847","38.6%"
"167.","Kent State U. at Ashtabula","1,974","$6,957,077","$8,045,332","-$1,088,255","47.8%"
"168.","U. of Montana Western","1,538","$8,353,036","$9,470,671","-$1,117,635","28.0%"
"169.","U. of Minnesota at Crookston","2,834","$11,390,260","$12,597,641","-$1,207,381","33.7%"
"170.","Dakota State U.","3,307","$15,470,574","$16,685,020","-$1,214,446","29.6%"
"171.","Emporia State U.","5,732","$35,711,175","$37,006,528","-$1,295,353","38.8%"
"172.","Kent State U.-Tuscarawas","2,131","$6,802,928","$8,099,914","-$1,296,986","42.5%"
"173.","North Dakota State U.","14,358","$120,304,338","$121,603,996","-$1,299,658","26.7%"
"174.","Ohio State U. at Mansfield","1,061","$7,009,996","$8,325,550","-$1,315,554","40.9%"
"175.","U. of South Florida-Sarasota/Manatee","2,117","$10,158,004","$11,484,844","-$1,326,840","29.1%"
"176.","West Texas A&M U.","10,060","$55,161,152","$56,496,466","-$1,335,314","28.4%"
"177.","Louisiana State U. at Alexandria","3,372","$12,832,804","$14,185,964","-$1,353,160","45.6%"
"178.","Ohio U. Eastern Campus","611","$2,281,002","$3,644,115","-$1,363,113","38.6%"
"179.","Mayville State U.","1,140","$4,617,925","$5,982,587","-$1,364,662","20.1%"
"180.","Oklahoma Panhandle State U.","1,138","$4,947,650","$6,392,149","-$1,444,499","23.6%"
"181.","Texas A&M U.-Central Texas","2,575","$12,494,199","$13,946,244","-$1,452,045","29.8%"
"182.","Ohio State U. at Lima","1,018","$6,457,072","$7,965,835","-$1,508,763","46.7%"
"183.","Peru State College","2,349","$6,977,809","$8,490,809","-$1,513,000","25.8%"
"184.","Spokane Falls Community College","5,589","$17,727,391","$19,277,027","-$1,549,636","16.6%"
"185.","Nevada State College","4,216","$10,973,000","$12,564,000","-$1,591,000","30.3%"
"186.","U. of Houston-Victoria","4,353","$21,482,947","$23,139,444","-$1,656,497","33.3%"
"187.","Ohio State U. at Marion","1,198","$6,583,122","$8,246,245","-$1,663,123","39.5%"
"188.","Westfield State U.","6,237","$47,364,302","$49,052,135","-$1,687,833","35.6%"
"189.","U. of California-Hastings College of the Law","1,028","$24,684,963","$26,377,056","-$1,692,093","36.9%"
"190.","Georgia Highlands College","6,013","$12,111,692","$13,861,214","-$1,749,522","28.4%"
"191.","Montana Technological U.","1,909","$17,702,417","$19,475,711","-$1,773,294","25.7%"
"192.","U. of California at Merced","7,967","$69,115,000","$70,999,111","-$1,884,111","18.6%"
"193.","Kent State U. at Salem","1,695","$5,498,031","$7,454,307","-$1,956,276","45.1%"
"194.","Lake Superior State U.","1,963","$14,708,760","$16,713,539","-$2,004,779","27.7%"
"195.","U. of Oklahoma at Norman","28,527","$313,571,000","$315,668,000","-$2,097,000","32.3%"
"196.","Massachusetts College of Art and Design","2,064","$23,514,892","$25,694,821","-$2,179,929","32.1%"
"197.","Chadron State College","2,737","$10,876,670","$13,153,142","-$2,276,472","26.7%"
"198.","U. of Maine at Machias","701","$2,265,000","$4,567,000","-$2,302,000","16.3%"
"199.","U. of Iowa","32,166","$405,345,000","$407,672,000","-$2,327,000","11.6%"
"200.","Utah Valley U.","37,282","$137,605,375","$139,939,115","-$2,333,740","40.3%"
"201.","U. of South Carolina at Beaufort","2,077","$12,642,369","$15,000,378","-$2,358,009","41.7%"
"202.","Metropolitan State U.","8,148","$31,075,000","$33,453,000","-$2,378,000","36.1%"
"203.","Shawnee State U.","3,582","$22,116,470","$24,520,658","-$2,404,188","35.7%"
"204.","U. of South Carolina at Aiken","3,506","$20,024,507","$22,455,817","-$2,431,310","37.1%"
"205.","Bainbridge State College","1,746","$4,505,687","$6,946,819","-$2,441,132","22.8%"
"206.","U. of Science and Arts of Oklahoma","882","$2,991,513","$5,465,032","-$2,473,519","16.0%"
"207.","California U. of Pennsylvania","7,788","$64,169,124","$66,670,623","-$2,501,499","45.3%"
"208.","Ohio U. Lancaster Campus","1,615","$5,364,172","$7,937,667","-$2,573,495","36.1%"
"209.","Florida Polytechnic U.","1,456","$3,680,643","$6,286,202","-$2,605,559","6.6%"
"210.","South Dakota State U.","12,516","$90,136,654","$92,807,438","-$2,670,784","26.9%"
"211.","Ohio U. at Zanesville","1,204","$4,823,432","$7,751,916","-$2,928,484","33.1%"
"212.","Athens State U.","3,114","$15,426,295","$18,422,991","-$2,996,696","41.1%"
"213.","Eastern Washington U.","12,607","$85,014,645","$88,061,945","-$3,047,300","35.8%"
"214.","West Virginia U. at Parkersburg","2,482","$6,823,040","$9,874,832","-$3,051,792","27.3%"
"215.","U. of South Florida at St. Petersburg","4,895","$22,745,508","$25,818,153","-$3,072,645","27.0%"
"216.","Fort Valley State U.","2,752","$8,735,336","$11,932,422","-$3,197,086","10.9%"
"217.","Northwestern Oklahoma State U.","2,096","$8,563,415","$11,761,670","-$3,198,255","28.7%"
"218.","Clayton State U.","7,003","$28,169,076","$31,373,783","-$3,204,707","31.8%"
"219.","South Georgia State College","2,540","$3,035,088","$6,256,289","-$3,221,201","11.0%"
"220.","U. of Wisconsin at Green Bay","7,174","$26,359,149","$29,659,741","-$3,300,592","30.9%"
"221.","Institute of American Indian Arts","659","$1,920,758","$5,223,741","-$3,302,983","5.7%"
"222.","U. of Maine at Presque Isle","1,414","$3,396,000","$6,704,000","-$3,308,000","17.2%"
"223.","Atlanta Metropolitan State College","2,501","$4,673,303","$7,983,695","-$3,310,392","16.3%"
"224.","U. of Maine at Augusta","4,014","$14,038,000","$17,391,000","-$3,353,000","28.7%"
"225.","U. of Cincinnati-Clermont College","2,799","$15,155,587","$18,521,376","-$3,365,789","49.1%"
"226.","Bluefield State College","1,379","$4,187,954","$7,673,600","-$3,485,646","21.2%"
"227.","Georgia Southwestern State U.","3,052","$12,950,184","$16,453,421","-$3,503,237","30.6%"
"228.","Towson U.","22,705","$137,462,407","$140,970,321","-$3,507,914","31.9%"
"229.","Alpena Community College","1,611","$4,079,742","$7,597,588","-$3,517,846","22.4%"
"230.","Montana State U.-Northern","1,236","$5,794,407","$9,451,134","-$3,656,727","19.4%"
"231.","U. of Wisconsin-Parkside","4,277","$18,864,391","$22,521,419","-$3,657,028","29.1%"
"232.","Abraham Baldwin Agricultural College","3,394","$10,571,770","$14,292,476","-$3,720,706","21.2%"
"233.","Portland State U.","26,693","$191,936,969","$195,699,895","-$3,762,926","34.0%"
"234.","Sul Ross State U.","2,946","$9,158,287","$13,023,991","-$3,865,704","15.6%"
"235.","Harris-Stowe State U.","1,442","$4,826,354","$8,799,411","-$3,973,057","15.2%"
"236.","Ohio U. at Chillicothe","1,691","$4,941,297","$8,917,691","-$3,976,394","30.4%"
"237.","Bellevue College","13,322","$54,407,148","$58,410,031","-$4,002,883","41.9%"
"238.","Concord U. (W.Va.)","2,194","$7,279,984","$11,283,630","-$4,003,646","18.8%"
"239.","U. of West Florida","13,040","$61,418,973","$65,456,485","-$4,037,512","25.8%"
"240.","Bowling Green State U., Main Campus","17,357","$158,145,538","$162,229,055","-$4,083,517","39.4%"
"241.","Oglala Lakota College","1,246","$2,454,351","$6,587,724","-$4,133,373","5.9%"
"242.","Florida Keys Community College","1,030","$2,444,592","$6,597,104","-$4,152,512","16.4%"
"243.","Northwestern Michigan College","3,954","$20,387,093","$24,563,687","-$4,176,594","34.0%"
"244.","Texas A&M U. at Kingsville","8,674","$51,843,224","$56,041,110","-$4,197,886","28.0%"
"245.","Ohio U. Southern Campus","1,387","$4,003,341","$8,209,584","-$4,206,243","29.7%"
"246.","Minot State U.","3,216","$15,689,160","$19,965,172","-$4,276,012","27.9%"
"247.","U. of Southern Maine","7,794","$49,329,000","$53,657,000","-$4,328,000","29.9%"
"248.","North Florida Community College","1,367","$843,821","$5,225,987","-$4,382,166","6.2%"
"249.","Purdue U. Fort Wayne","10,414","$51,994,049","$56,413,551","-$4,419,502","34.0%"
"250.","U. of Wisconsin at Superior","2,595","$12,813,139","$17,312,705","-$4,499,566","25.1%"
"251.","New Mexico Highlands U.","3,098","$15,020,144","$19,581,449","-$4,561,305","21.6%"
"252.","U. of Cincinnati-Blue Ash College","4,779","$21,322,264","$25,996,845","-$4,674,581","46.4%"
"253.","U. of North Alabama","7,204","$43,561,591","$48,321,716","-$4,760,125","39.4%"
"254.","Framingham State U.","5,691","$35,753,779","$40,548,922","-$4,795,143","30.2%"
"255.","Missouri State U.","23,697","$125,215,745","$130,043,803","-$4,828,058","36.8%"
"256.","Longwood U.","5,074","$35,403,099","$40,315,828","-$4,912,729","25.3%"
"257.","U. of Wisconsin Colleges","11,486","$33,472,707","$38,408,530","-$4,935,823","36.7%"
"258.","Valdosta State U.","11,341","$61,457,736","$66,416,916","-$4,959,180","34.6%"
"259.","Indiana U. Northwest","4,055","$22,533,638","$27,498,385","-$4,964,747","41.4%"
"260.","Winthrop U.","6,073","$47,088,619","$52,093,252","-$5,004,633","36.2%"
"261.","U. of Wisconsin at River Falls","6,105","$33,733,139","$38,872,105","-$5,138,966","29.1%"
"262.","Shippensburg U. of Pennsylvania","6,570","$55,394,457","$60,583,961","-$5,189,504","39.6%"
"263.","Clarion U. of Pennsylvania","5,225","$38,155,979","$43,378,893","-$5,222,914","37.2%"
"264.","Haskell Indian Nations U.","806","$294,803","$5,524,456","-$5,229,653","1.3%"
"265.","East Georgia State College","3,003","$4,364,180","$9,602,982","-$5,238,802","15.6%"
"266.","Western New Mexico U.","3,088","$11,909,273","$17,189,382","-$5,280,109","25.3%"
"267.","Slippery Rock U. of Pennsylvania","8,866","$71,970,067","$77,267,762","-$5,297,695","43.9%"
"268.","U. of South Carolina Upstate","5,990","$33,727,385","$39,119,821","-$5,392,436","41.7%"
"269.","Southwest Minnesota State U.","7,154","$14,585,000","$19,985,000","-$5,400,000","28.1%"
"270.","Lake-Sumter State College","4,881","$6,234,666","$11,667,351","-$5,432,685","18.7%"
"271.","Ramapo College of New Jersey","6,120","$61,433,000","$66,885,000","-$5,452,000","38.6%"
"272.","Shepherd U. at Shepherdstown (W.V.)","3,736","$17,574,478","$23,037,874","-$5,463,396","31.9%"
"273.","West Virginia State U.","3,879","$10,494,956","$15,962,339","-$5,467,383","20.6%"
"274.","U. of Mary Washington","4,808","$29,116,170","$34,837,502","-$5,721,332","25.5%"
"275.","Bemidji State U.","5,195","$22,297,000","$28,023,000","-$5,726,000","29.3%"
"276.","U. of Virginia's College at Wise","2,095","$10,105,815","$15,905,552","-$5,799,737","18.6%"
"277.","Southern Oregon U.","6,191","$28,132,780","$33,938,818","-$5,806,038","26.9%"
"278.","Lake Michigan College","3,477","$6,956,627","$12,781,168","-$5,824,541","16.4%"
"279.","Jacksonville State U.","8,567","$47,569,000","$53,447,868","-$5,878,868","37.7%"
"280.","Texas A&M U. at Texarkana","2,066","$9,911,687","$15,834,906","-$5,923,219","21.1%"
"281.","Mississippi U. for Women","2,789","$14,205,746","$20,145,850","-$5,940,104","26.2%"
"282.","Salisbury U.","8,714","$58,567,448","$64,546,150","-$5,978,702","31.3%"
"283.","Northern New Mexico College","948","$1,049,182","$7,031,076","-$5,981,894","4.8%"
"284.","Pierce College-Fort Steilacoom","6,048","$16,545,810","$22,553,957","-$6,008,147","29.2%"
"285.","U. of Wisconsin at Milwaukee (includes Milwaukee Flex)*","25,489","$194,583,529","$200,603,777","-$6,020,248","37.2%"
"286.","Christopher Newport U.","5,081","$38,512,479","$44,552,109","-$6,039,630","23.1%"
"287.","Oregon Institute of Technology","5,486","$24,673,113","$30,745,864","-$6,072,751","30.7%"
"288.","Northwest Indian College","544","$2,109,605","$8,240,908","-$6,131,303","11.8%"
"289.","Georgia Southern U.","20,418","$117,350,971","$123,532,205","-$6,181,234","31.6%"
"290.","Stockton U.","9,216","$82,642,177","$88,847,949","-$6,205,772","34.3%"
"291.","Chipola College","2,092","$2,491,800","$8,735,005","-$6,243,205","9.7%"
"292.","East Central U. (Okla.)","3,719","$20,109,035","$26,381,412","-$6,272,377","31.2%"
"293.","Northern State U.","3,611","$11,064,065","$17,399,066","-$6,335,001","23.3%"
"294.","U. of Montevallo","2,717","$21,055,382","$27,524,831","-$6,469,449","33.2%"
"295.","Kennesaw State U.","35,846","$193,196,541","$199,773,119","-$6,576,578","38.1%"
"296.","Arkansas Tech U.","11,830","$39,450,697","$46,197,669","-$6,746,972","28.7%"
"297.","Valley City State U.","1,522","$6,882,998","$13,651,774","-$6,768,776","19.1%"
